name,isImportant
Turceni,false
Țăndărei,false
"Ulmeni Sălaj",false
"Unirea hc",false
Urziceni,false
"Valea lui Mihai",false
"Valea Sadului",false
"Valea Uzului hc",false
Vama,false
Vaslui,false
"Vatra Dornei Băi h",false
Verești,false
"Vicovu de Jos hc",false
Videle,false
"Vințu de Jos",false
"Vișeu de Jos",false
"Zalău Nord",false
Abrami,false
"Abrămuț hc",false
Acâș,false
"Aciliu hc",false
Aciuța,false
"Adămuș hc",false
"Adânca Hm",false
"Adjudu Vechi h",false
Afumați,false
"Agârbiciu hc",false
"Aghireș hc",false
"Agigea Ecluză",false
"Agigea Nord",false
"Albești Târnava",false
"Aleșd hc",false
"Alexandria Nord h",false
Alexeni,false
Almaș,false
"Almăj h",false
"Aluniș h",false
"Aluniș Mureș",false
"Aluniș Sălaj hc",false
Amaradia,false
"Ampoița hc",false
Andrășești,false
"Andreneasa hc",false
"Andrieșeni hc",false
"Anghelești hc",false
"Angheluș h",false
"Aninoasa Hm",false
"Antestație Bărăbanț",false
Apa,false
"Apahida h",false
Apața,false
"Apoldu de Jos hc",false
"Apoldu de Sus",false
"Arad Vest",false
"Aradu Nou",false
"Aranca hc",false
"Arcalia hc",false
Arcești,false
"Archita Hm",false
"Arcuș h",false
Argestru,false
Armășești,false
Armeniș,false
Arpaș,false
Asău,false
Atârnați,false
"Atelier Zona h",false
Ațel,false
Augustin,false
"Aurel Vlaicu Hm",false
"Axente Sever h",false
"Azomureș hc",false
"Baciu h",false
"Baciu Triaj",false
"Bacova hc",false
"Bahnea Hm",false
"Baia de Criș",false
"Baia Dobrogea",false
"Balda H",false
Baldovinești,false
"Balintești hc",false
"Balinț Hm",false
"Balomiru de Câmp h",false
Balota,false
"Balota h",false
Balotești,false
"Balta Sărată",false
Banca,false
"Banu Mărăcine",false
"Barboși Triaj h",false
Barcea,false
Bartolomeu,false
"Baru Mare",false
"Baru Mare hc",false
Bascov,false
"Bata Hm",false
"Batiz hc",false
"Baza I.F.F. h",false
Băbuțeni,false
"Băcia hc",false
"Băcia Hm",false
"Bădeni hc",false
"Bădila hc",false
Băești,false
Băiculești,false
"Băile Calacea",false
"Băile Miercurea hc",false
"Băile Sărata Monteoru hc",false
"Bălani H",false
"Bălăbănești hc",false
"Bălănoaia Hm",false
"Bălăușeri Hm",false
Băleni,false
"Bălnaca hc",false
Bălteni,false
"Bălteni Olt Hm",false
"Băneasa Giurgiu",false
"Bănești Hm",false
"Bănești Suceava hc",false
"Bănila Câlnic hc",false
Bănița,false
Bărăbanț,false
"Bărăbanț Nord h",false
Bărăganu,false
"Bărăteaz hc",false
Bărbătești,false
"Bărbulești hc",false
Bătuța,false
