currentTimestamp,cfr_date,station,trainId,trainOperator,fromStation,arrival,arrivalDelayMinutes,toStation,departure,departureDelayMinutes,platform
"06.06.2026 18:38",06.06.2026,Arad,"IRN 346","CFR Călători","București Nord","06.06.2026 02:17",,Curtici,"06.06.2026 02:36",0,4
"06.06.2026 18:38",06.06.2026,Arad,"IRN 347","CFR Călători",Curtici,"06.06.2026 02:54",0,"București Nord","06.06.2026 03:15",0,3
"06.06.2026 18:38",06.06.2026,Arad,"R 11170","Regio Călători","Sânnicolau Mare","06.06.2026 05:07",15,,,,2
"06.06.2026 18:38",06.06.2026,Arad,"IRN 472","CFR Călători","București Nord","06.06.2026 05:09",,Curtici,"06.06.2026 06:01",0,4
"06.06.2026 18:38",06.06.2026,Arad,"R 11120","Regio Călători",Nădlac,"06.06.2026 05:27",13,,,,3
"06.06.2026 18:38",06.06.2026,Arad,"R 3122","CFR Călători",Gurahonț,"06.06.2026 05:50",0,,,,7
"06.06.2026 18:38",06.06.2026,Arad,"R 2202","CFR Călători",Curtici,"06.06.2026 05:59",0,,,,3
"06.06.2026 18:38",06.06.2026,Arad,"R 3113","CFR Călători","Timișoara Nord","06.06.2026 06:01",,Oradea,"06.06.2026 06:25",0,6
"06.06.2026 18:38",06.06.2026,Arad,"IR 1530","CFR Călători","Baia Mare","06.06.2026 06:06",18,"Timișoara Nord","06.06.2026 06:11",15,4
"06.06.2026 18:38",06.06.2026,Arad,"R 11172","Regio Călători","Sânnicolau Mare","06.06.2026 06:07",2,,,,2
"06.06.2026 18:38",06.06.2026,Arad,"IRN 0017630","CFR Călători",Iași,"06.06.2026 06:34",,"Timișoara Nord","06.06.2026 07:11",,
"06.06.2026 18:38",06.06.2026,Arad,"R 2041","CFR Călători",Radna,"06.06.2026 06:49",0,,,,1
"06.06.2026 18:38",06.06.2026,Arad,"R 3112","CFR Călători",Oradea,"06.06.2026 06:56",34,"Timișoara Nord","06.06.2026 07:30",3,4
"06.06.2026 18:38",06.06.2026,Arad,"R 11122","Regio Călători",Nădlac,"06.06.2026 07:00",0,,,,2
"06.06.2026 18:38",06.06.2026,Arad,"R 2204","CFR Călători",Curtici,"06.06.2026 07:11",0,,,,7
"06.06.2026 18:38",06.06.2026,Arad,"IR 378","CFR Călători","Timișoara Nord","06.06.2026 07:53",0,Curtici,"06.06.2026 08:00",0,4
"06.06.2026 18:38",06.06.2026,Arad,"R 3124","CFR Călători",Brad,"06.06.2026 08:21",0,,,,3
"06.06.2026 18:38",06.06.2026,Arad,"R-E 10515","Interregional Călători","Timișoara Nord","06.06.2026 08:46",16,Oradea,"06.06.2026 08:48",16,5
"06.06.2026 18:38",06.06.2026,Arad,"R-E 10512","Interregional Călători",Oradea,"06.06.2026 09:05",28,"Timișoara Nord","06.06.2026 09:09",28,7
"06.06.2026 18:38",06.06.2026,Arad,"R 2031","CFR Călători",Simeria,"06.06.2026 09:09",2,,,,1
"06.06.2026 18:38",06.06.2026,Arad,"R 11124","Regio Călători",Nădlac,"06.06.2026 09:15",0,,,,3
"06.06.2026 18:38",06.06.2026,Arad,"IR 14301","Astra Trans Carpatic","București Nord","06.06.2026 09:30",,,,,6
"06.06.2026 18:38",06.06.2026,Arad,"R 11176","Regio Călători",Vălcani,"06.06.2026 09:42",10,,,,1
"06.06.2026 18:38",06.06.2026,Arad,"IRN 078","CFR Călători","București Nord","06.06.2026 09:47",23,Curtici,"06.06.2026 10:02",33,4
"06.06.2026 18:38",06.06.2026,Arad,"IR 73","CFR Călători",Curtici,"06.06.2026 09:49",10,"București Nord","06.06.2026 09:57",14,3
"06.06.2026 18:38",06.06.2026,Arad,"R 2603","CFR Călători","Timișoara Nord","06.06.2026 10:16",14,,,,3
"06.06.2026 18:38",06.06.2026,Arad,"IR 16023","CFR Călători","Timișoara Nord","06.06.2026 10:46",3,"București Nord","06.06.2026 10:55",3,1
"06.06.2026 18:38",06.06.2026,Arad,"IR 1538","CFR Călători",Oradea,"06.06.2026 11:05",19,"Timișoara Nord","06.06.2026 11:20",19,5
"06.06.2026 18:38",06.06.2026,Arad,"IRN 1821","CFR Călători","București Nord","06.06.2026 11:06",14,,,,1
"06.06.2026 18:38",06.06.2026,Arad,"IR 371","CFR Călători",Curtici,"06.06.2026 11:51",10,,,,3
"06.06.2026 18:38",06.06.2026,Arad,"R 10501","Interregional Călători",Caransebeș,"06.06.2026 12:09",,,,,
"06.06.2026 18:38",06.06.2026,Arad,"R 11180","Regio Călători","Sânnicolau Mare","06.06.2026 13:46",19,,,,1
"06.06.2026 18:38",06.06.2026,Arad,"IR 75","CFR Călători",Curtici,"06.06.2026 13:51",0,"Cluj Napoca","06.06.2026 13:57",13,3
"06.06.2026 18:38",06.06.2026,Arad,"IR 075","CFR Călători",Curtici,"06.06.2026 13:51",0,Brașov,"06.06.2026 13:57",13,3
"06.06.2026 18:38",06.06.2026,Arad,"R 11126","Regio Călători",Nădlac,"06.06.2026 14:08",0,,,,2
"06.06.2026 18:38",06.06.2026,Arad,"R 2705","CFR Călători",Simeria,"06.06.2026 14:30",0,,,,6
"06.06.2026 18:38",06.06.2026,Arad,"R 3126","CFR Călători",Gurahonț,"06.06.2026 15:44",0,,,,5
"06.06.2026 18:38",06.06.2026,Arad,"R-E 10513","Interregional Călători","Timișoara Nord","06.06.2026 15:47",0,Oradea,"06.06.2026 16:09",0,7
"06.06.2026 18:38",06.06.2026,Arad,"IR 375","CFR Călători",Curtici,"06.06.2026 15:51",0,,,,3
"06.06.2026 18:38",06.06.2026,Arad,"IR 74","CFR Călători","Cluj Napoca","06.06.2026 15:53",0,Curtici,"06.06.2026 16:01",0,4
"06.06.2026 18:38",06.06.2026,Arad,"IR 074","CFR Călători",Brașov,"06.06.2026 15:53",0,Curtici,"06.06.2026 16:01",0,4
"06.06.2026 18:38",06.06.2026,Arad,"R 2029","CFR Călători","Timișoara Nord","06.06.2026 16:22",,,,,
"06.06.2026 18:38",06.06.2026,Arad,"IRN 1765","CFR Călători","Timișoara Nord","06.06.2026 16:32",0,Iași,"06.06.2026 17:05",0,5
"06.06.2026 18:38",06.06.2026,Arad,"R 2212","CFR Călători",Curtici,"06.06.2026 16:59",0,,,,3
"06.06.2026 18:38",06.06.2026,Arad,"IR 1531","CFR Călători","Timișoara Nord","06.06.2026 17:28",0,"Baia Mare","06.06.2026 17:33",0,5
"06.06.2026 18:38",06.06.2026,Arad,"R 11128","Regio Călători",Nădlac,"06.06.2026 17:45",0,,,,5
"06.06.2026 18:38",06.06.2026,Arad,"IR 377","CFR Călători",Curtici,"06.06.2026 17:53",0,"Timișoara Nord","06.06.2026 17:58",4,3
"06.06.2026 18:38",06.06.2026,Arad,"IR 72","CFR Călători","București Nord","06.06.2026 17:56",6,Curtici,"06.06.2026 18:03",6,4
"06.06.2026 18:38",06.06.2026,Arad,"R-E 14104","Interregional Călători",Oradea,"06.06.2026 17:57",6,"Timișoara Nord","06.06.2026 18:23",0,7
"06.06.2026 18:38",06.06.2026,Arad,"IR 1537","CFR Călători","Timișoara Nord","06.06.2026 18:43",5,Oradea,"06.06.2026 18:54",0,5
"06.06.2026 18:38",06.06.2026,Arad,"R 14115","Interregional Călători",Caransebeș,"06.06.2026 19:24",4,,,,5
"06.06.2026 18:38",06.06.2026,Arad,"R 13345","CFR Călători",Simeria,"06.06.2026 19:25",0,,,,4
"06.06.2026 18:38",06.06.2026,Arad,"R 11184","Regio Călători",Vălcani,"06.06.2026 19:31",4,,,,7
"06.06.2026 18:38",06.06.2026,Arad,"R 13116","CFR Călători",Oradea,"06.06.2026 19:34",0,"Timișoara Nord","06.06.2026 19:42",0,3
"06.06.2026 18:38",06.06.2026,Arad,"IRN 01744","CFR Călători",Oradea,"06.06.2026 19:49",20,,,,3
"06.06.2026 18:38",06.06.2026,Arad,"R 11130","Regio Călători",Nădlac,"06.06.2026 19:50",0,,,,7
"06.06.2026 18:38",06.06.2026,Arad,"IRN 079","CFR Călători",Curtici,"06.06.2026 19:51",0,,,,3
"06.06.2026 18:38",06.06.2026,Arad,"R 13117","CFR Călători","Timișoara Nord","06.06.2026 20:30",0,Oradea,"06.06.2026 20:40",0,5
"06.06.2026 18:38",06.06.2026,Arad,"IR 16021","CFR Călători","București Nord","06.06.2026 21:29",0,"Timișoara Nord","06.06.2026 21:41",0,
"06.06.2026 18:38",06.06.2026,Arad,"IR 379","CFR Călători",Curtici,"06.06.2026 21:51",0,,,,
"06.06.2026 18:38",06.06.2026,Arad,"R 11132","Regio Călători",Nădlac,"06.06.2026 21:55",0,,,,
"06.06.2026 18:38",06.06.2026,Arad,"R 2611","CFR Călători","Timișoara Nord","06.06.2026 21:59",0,,,,
"06.06.2026 18:38",06.06.2026,Arad,"R 11188","Regio Călători","Sânnicolau Mare","06.06.2026 22:18",5,,,,
"06.06.2026 18:38",06.06.2026,Arad,"IC 521","CFR Călători",Teiuș,"06.06.2026 22:37",5,,,,
"06.06.2026 18:38",06.06.2026,Arad,"IR 16099","CFR Călători","București Nord","06.06.2026 23:20",,,,,
"06.06.2026 18:38",06.06.2026,Arad,"IRN 473","CFR Călători",Curtici,"06.06.2026 23:51",0,"București Nord","06.06.2026 00:02",0,
"06.06.2026 18:38",06.06.2026,Arad,"R 2028","CFR Călători",,,,"Timișoara Nord","06.06.2026 04:11",0,2
"06.06.2026 18:38",06.06.2026,Arad,"IR 16098","CFR Călători",,,,"București Nord","06.06.2026 04:31",,
"06.06.2026 18:38",06.06.2026,Arad,"R 10502","Interregional Călători",,,,Caransebeș,"06.06.2026 04:40",0,6
"06.06.2026 18:38",06.06.2026,Arad,"R 2044","CFR Călători",,,,Radna,"06.06.2026 05:10",0,2
"06.06.2026 18:38",06.06.2026,Arad,"R 11121","Regio Călători",,,,Nădlac,"06.06.2026 05:38",6,3
"06.06.2026 18:38",06.06.2026,Arad,"IRN 1743","CFR Călători",,,,Oradea,"06.06.2026 06:07",58,5
"06.06.2026 18:38",06.06.2026,Arad,"R 2201","CFR Călători",,,,Curtici,"06.06.2026 06:15",0,7
"06.06.2026 18:38",06.06.2026,Arad,"IC 522","CFR Călători",,,,Teiuș,"06.06.2026 06:46",0,1
"06.06.2026 18:38",06.06.2026,Arad,"R 2372","CFR Călători",,,,Simeria,"06.06.2026 07:02",0,3
"06.06.2026 18:38",06.06.2026,Arad,"R 11174","Regio Călători",,,,"Sânnicolau Mare","06.06.2026 07:16",0,3
"06.06.2026 18:38",06.06.2026,Arad,"R 3125","CFR Călători",,,,Gurahonț,"06.06.2026 07:40",0,7
"06.06.2026 18:38",06.06.2026,Arad,"R 11123","Regio Călători",,,,Nădlac,"06.06.2026 07:53",0,2
"06.06.2026 18:38",06.06.2026,Arad,"R 11178","Regio Călători",,,,"Sânnicolau Mare","06.06.2026 11:19",0,3
"06.06.2026 18:38",06.06.2026,Arad,"IR 376","CFR Călători",,,,Curtici,"06.06.2026 12:01",0,2
